event_id,dept_id,risk_type,severity,date
1504,105,Process Failure,Critical,2024-05-14
1505,101,System Downtime,Medium,2024-01-06
1506,101,Process Failure,Critical,2024-03-01
1507,102,System Downtime,Low,2024-10-27
1508,104,System Downtime,Medium,2024-02-22
1509,103,Process Failure,High,2024-03-14
1510,101,System Downtime,Critical,2024-09-29
1511,105,Compliance Breach,Critical,2024-11-02
1512,102,Compliance Breach,High,2024-07-14
1513,104,Process Failure,Low,2024-02-21
1514,105,Fraud Alert,Low,2024-09-16
1515,104,Process Failure,Medium,2024-10-07
1516,102,System Downtime,Critical,2024-07-25
1517,104,Compliance Breach,High,2024-04-15
1518,102,Process Failure,Low,2024-12-26
1519,105,Compliance Breach,High,2024-03-13
1520,104,Process Failure,Medium,2024-08-07
1521,104,Process Failure,Medium,2024-10-29
1522,102,Fraud Alert,Low,2024-04-02
1523,101,Process Failure,Critical,2024-09-04
1524,101,Fraud Alert,Low,2024-04-02
1525,105,System Downtime,Critical,2024-06-23
1526,102,Compliance Breach,Medium,2024-06-19
1527,103,Process Failure,High,2024-05-16
1528,105,Fraud Alert,Medium,2024-09-19
1529,105,Compliance Breach,High,2024-10-07
1530,103,Fraud Alert,Medium,2024-12-01
1531,104,Compliance Breach,Critical,2024-07-12
1532,105,Compliance Breach,Low,2024-12-08
1533,103,Compliance Breach,High,2024-01-04
1534,102,Fraud Alert,Low,2024-03-27
1535,103,Fraud Alert,Low,2024-05-08
1536,105,Process Failure,Low,2024-03-31
1537,101,Compliance Breach,High,2024-08-09
1538,102,Compliance Breach,Low,2024-09-16
1539,103,Fraud Alert,High,2024-12-22
1540,101,Compliance Breach,Low,2024-11-11
1541,104,Fraud Alert,Low,2024-03-21
1542,101,Fraud Alert,Critical,2024-11-01
1543,101,Compliance Breach,Low,2024-11-26
1544,101,Process Failure,High,2024-03-12
1545,101,Fraud Alert,High,2024-12-18
1546,104,Fraud Alert,Critical,2024-01-15
1547,104,System Downtime,High,2024-07-21
1548,102,Fraud Alert,Critical,2024-02-17
1549,103,System Downtime,Low,2024-09-20
1550,104,Fraud Alert,Low,2024-12-05
1551,105,System Downtime,High,2024-10-09
1552,101,Compliance Breach,Medium,2024-11-04
1553,102,System Downtime,Critical,2024-10-10
1554,101,Fraud Alert,Low,2024-12-11
1555,105,Compliance Breach,High,2024-11-30
1556,101,Compliance Breach,Critical,2024-03-26
1557,102,Fraud Alert,Low,2024-08-26
1558,104,System Downtime,Medium,2024-12-11
1559,105,Process Failure,Critical,2024-06-10
1560,102,System Downtime,High,2024-02-26
1561,105,Process Failure,High,2024-01-11
1562,105,Compliance Breach,Critical,2024-03-05
1563,104,Fraud Alert,High,2024-01-26
1564,105,Process Failure,Critical,2024-08-24
1565,103,Compliance Breach,Critical,2024-08-17
1566,102,Compliance Breach,Low,2024-06-28
1567,101,Process Failure,Medium,2024-06-29
1568,105,Process Failure,Critical,2024-12-21
1569,104,Fraud Alert,Medium,2024-01-10
1570,105,System Downtime,Medium,2024-06-20
1571,105,Compliance Breach,High,2024-07-12
1572,105,Process Failure,Critical,2024-08-06
1573,105,Compliance Breach,Critical,2024-12-08
1574,103,System Downtime,Low,2024-02-25
1575,101,System Downtime,Low,2024-06-15
1576,102,System Downtime,Low,2024-11-04
1577,105,System Downtime,Critical,2024-01-26
1578,105,Compliance Breach,Medium,2024-09-17
1579,105,System Downtime,Medium,2024-09-17
1580,101,Process Failure,High,2024-08-25
1581,103,Process Failure,Medium,2024-10-14
1582,104,Fraud Alert,Medium,2024-06-25
1583,104,Compliance Breach,High,2024-01-15
1584,105,Compliance Breach,Critical,2024-04-29
1585,104,System Downtime,Critical,2024-08-05
1586,101,Fraud Alert,Low,2024-04-21
1587,102,Fraud Alert,Critical,2024-06-09
1588,101,Fraud Alert,High,2024-03-20
1589,101,Process Failure,Medium,2024-12-04
1590,103,Fraud Alert,Low,2024-09-14
1591,102,Process Failure,Low,2024-11-25
1592,105,Fraud Alert,Medium,2024-12-06
1593,101,System Downtime,Medium,2024-10-20
1594,101,Fraud Alert,High,2024-09-27
1595,102,Compliance Breach,Low,2024-02-22
1596,105,Compliance Breach,High,2024-04-26
1597,103,Compliance Breach,Medium,2024-04-26
1598,105,Fraud Alert,Low,2024-12-25
1599,102,Compliance Breach,Low,2024-12-07
1600,104,Process Failure,Critical,2024-09-16
1601,105,System Downtime,Critical,2024-01-28
1602,102,Fraud Alert,High,2024-06-08
1603,105,System Downtime,Critical,2024-08-03
1604,102,Fraud Alert,Critical,2024-01-01
1605,101,System Downtime,Critical,2024-11-21
1606,102,System Downtime,Medium,2024-11-03
1607,101,Fraud Alert,Low,2024-12-31
1608,105,Fraud Alert,Medium,2024-08-03
1609,102,Compliance Breach,Low,2024-08-19
1610,103,Compliance Breach,Low,2024-11-22
1611,105,Fraud Alert,Medium,2024-11-03
1612,103,Fraud Alert,High,2024-07-22
1613,105,System Downtime,Low,2024-06-19
1614,104,System Downtime,Medium,2024-08-15
1615,104,System Downtime,High,2024-03-24
1616,102,Compliance Breach,High,2024-10-24
1617,104,System Downtime,Low,2024-08-24
1618,103,Process Failure,Low,2024-07-10
1619,101,Fraud Alert,Critical,2024-07-29
1620,102,Process Failure,Medium,2024-09-28
1621,104,Fraud Alert,Critical,2024-03-22
1622,104,Fraud Alert,Medium,2024-03-13
1623,104,Compliance Breach,Medium,2024-10-19
1624,102,Fraud Alert,Low,2024-05-22
1625,105,Process Failure,Critical,2024-12-30
1626,104,Compliance Breach,High,2024-09-25
1627,101,Fraud Alert,Low,2024-03-12
1628,104,System Downtime,Critical,2024-10-13
1629,104,System Downtime,Critical,2024-09-26
1630,104,Compliance Breach,Critical,2024-03-31
1631,102,Process Failure,Medium,2024-04-10
1632,105,Fraud Alert,High,2024-03-30
1633,104,Fraud Alert,Low,2024-11-16
1634,102,Fraud Alert,Medium,2024-03-24
1635,103,Compliance Breach,High,2024-09-14
1636,101,Compliance Breach,Low,2024-01-25
1637,103,System Downtime,Low,2024-11-17
1638,105,Fraud Alert,Medium,2024-08-28
1639,104,Fraud Alert,Low,2024-11-27
1640,101,Fraud Alert,High,2024-06-02
1641,102,System Downtime,Low,2024-10-22
1642,102,Compliance Breach,Critical,2024-09-03
1643,103,Fraud Alert,High,2024-03-30
1644,105,Fraud Alert,Medium,2024-07-08
1645,103,Compliance Breach,Critical,2024-02-08
1646,101,Fraud Alert,Low,2024-09-01
1647,105,System Downtime,Medium,2024-10-16
1648,105,System Downtime,Low,2024-08-09
1649,102,Process Failure,Critical,2024-03-07
1650,102,Process Failure,Critical,2024-12-14
1651,105,Fraud Alert,High,2024-07-01
1652,104,System Downtime,Medium,2024-04-26
1653,105,Process Failure,Critical,2024-08-17
1654,105,System Downtime,Medium,2024-03-07
1655,103,System Downtime,High,2024-11-05
1656,104,Compliance Breach,Low,2024-12-18
1657,105,Process Failure,Medium,2024-05-20
1658,101,Process Failure,Medium,2024-09-07
1659,101,System Downtime,High,2024-10-06
1660,105,Fraud Alert,Medium,2024-07-18
1661,103,System Downtime,Medium,2024-01-13
1662,104,System Downtime,Medium,2024-04-25
1663,104,Process Failure,Low,2024-09-23
1664,104,System Downtime,Low,2024-11-15
1665,104,System Downtime,High,2024-09-24
1666,103,Fraud Alert,Medium,2024-06-02
1667,103,Compliance Breach,Medium,2024-06-19
1668,103,System Downtime,High,2024-12-23
1669,102,Fraud Alert,Low,2024-08-19
1670,104,Process Failure,Critical,2024-08-19
1671,104,Process Failure,High,2024-04-11
1672,104,Fraud Alert,Low,2024-12-27
1673,104,Process Failure,Medium,2024-10-05
1674,102,Process Failure,Critical,2024-04-11
1675,104,Process Failure,High,2024-04-06
1676,104,System Downtime,Medium,2024-11-06
1677,104,Process Failure,Critical,2024-03-16
1678,105,System Downtime,Low,2024-12-26
1679,102,System Downtime,High,2024-05-08
1680,103,Compliance Breach,Low,2024-05-24
1681,103,Process Failure,Low,2024-02-10
1682,102,Process Failure,Low,2024-04-19
1683,104,Process Failure,High,2024-12-03
1684,105,Compliance Breach,Low,2024-10-07
1685,104,Process Failure,High,2024-11-17
1686,104,Compliance Breach,Critical,2024-01-23
1687,102,Process Failure,Medium,2024-09-13
1688,103,Process Failure,Medium,2024-10-22
1689,104,Fraud Alert,Medium,2024-08-03
1690,101,Process Failure,High,2024-03-07
1691,105,Process Failure,High,2024-03-27
1692,101,Process Failure,Low,2024-07-09
1693,102,Process Failure,Medium,2024-10-29
1694,102,Process Failure,Medium,2024-05-05
1695,102,Fraud Alert,Critical,2024-06-18
1696,105,Compliance Breach,High,2024-04-22
1697,104,Compliance Breach,Critical,2024-01-23
1698,101,Fraud Alert,Critical,2024-02-18
1699,105,System Downtime,High,2024-04-21
1700,102,System Downtime,Critical,2024-11-07
1701,105,Process Failure,Critical,2024-09-05
1702,105,System Downtime,High,2024-06-25
1703,102,Fraud Alert,Low,2024-05-07
1704,102,System Downtime,Critical,2024-11-28
1705,104,Process Failure,Critical,2024-10-23
1706,102,Process Failure,High,2024-10-11
1707,103,Process Failure,Medium,2024-06-06
1708,102,System Downtime,High,2024-12-20
1709,104,Fraud Alert,Low,2024-06-12
1710,105,Process Failure,Critical,2024-01-27
1711,101,Process Failure,Critical,2024-10-10
1712,101,System Downtime,Critical,2024-06-06
1713,103,Compliance Breach,Medium,2024-07-02
1714,104,Fraud Alert,Critical,2024-04-21
1715,101,Process Failure,High,2024-03-30
1716,103,Compliance Breach,High,2024-11-25
1717,104,Process Failure,Critical,2024-03-30
1718,105,System Downtime,Low,2024-07-10
1719,102,System Downtime,Critical,2024-02-25
1720,104,System Downtime,Low,2024-05-12
1721,101,Compliance Breach,High,2024-03-04
1722,104,Process Failure,Medium,2024-02-29
1723,101,Fraud Alert,High,2024-02-01
1724,101,Process Failure,Critical,2024-03-15
1725,101,Process Failure,Medium,2024-06-01
1726,105,Process Failure,Critical,2024-03-02
1727,102,Compliance Breach,Low,2024-03-01
1728,101,Fraud Alert,Low,2024-08-08
1729,103,Process Failure,Low,2024-05-19
1730,101,Compliance Breach,Medium,2024-07-22
1731,103,Compliance Breach,High,2024-06-19
1732,101,Fraud Alert,Medium,2024-06-05
1733,104,Process Failure,Critical,2024-09-18
1734,104,System Downtime,Low,2024-09-28
1735,101,System Downtime,Medium,2024-02-24
1736,102,System Downtime,Medium,2024-12-01
1737,101,System Downtime,High,2024-07-08
1738,104,Fraud Alert,Critical,2024-08-12
1739,104,Fraud Alert,High,2024-03-04
1740,102,System Downtime,Critical,2024-08-30
1741,101,Compliance Breach,High,2024-03-18
1742,103,Process Failure,Low,2024-10-02
1743,105,Process Failure,Critical,2024-10-07
1744,101,Process Failure,High,2024-01-11
1745,102,Compliance Breach,Medium,2024-06-19
1746,104,Compliance Breach,High,2024-06-13
1747,103,System Downtime,High,2024-01-29
1748,104,Fraud Alert,High,2024-08-14
1749,101,Process Failure,Medium,2024-01-19
1750,104,Compliance Breach,Low,2024-12-28
1751,102,System Downtime,Low,2024-07-13
1752,101,Fraud Alert,Low,2024-11-20
1753,103,Compliance Breach,Critical,2024-03-22
1754,105,Process Failure,Critical,2024-05-10
1755,104,System Downtime,Medium,2024-07-11
1756,102,Compliance Breach,Critical,2024-08-21
1757,103,Process Failure,Medium,2024-11-11
1758,104,Process Failure,Critical,2024-04-01
1759,105,System Downtime,Critical,2024-09-11
1760,104,Fraud Alert,Critical,2024-07-10
1761,105,Process Failure,Low,2024-04-18
1762,102,Process Failure,Critical,2024-05-25
1763,102,Compliance Breach,Low,2024-10-11
1764,105,Fraud Alert,Critical,2024-11-16
1765,102,Fraud Alert,Medium,2024-05-03
1766,102,Process Failure,Low,2024-12-22
1767,104,Compliance Breach,Medium,2024-03-03
1768,103,System Downtime,High,2024-06-09
1769,101,Fraud Alert,Critical,2024-07-21
1770,105,Process Failure,Medium,2024-04-05
1771,103,Fraud Alert,Critical,2024-12-24
1772,101,System Downtime,Medium,2024-04-19
1773,104,Process Failure,Low,2024-12-20
1774,104,System Downtime,Medium,2024-08-17
1775,102,Compliance Breach,Critical,2024-06-21
1776,101,Fraud Alert,High,2024-06-30
1777,103,Compliance Breach,Critical,2024-06-22
1778,103,System Downtime,High,2024-10-24
1779,104,Fraud Alert,Low,2024-05-26
1780,103,Fraud Alert,High,2024-05-26
1781,101,System Downtime,Medium,2024-08-04
1782,102,Compliance Breach,Critical,2024-10-23
1783,104,Process Failure,Medium,2024-08-17
1784,102,Compliance Breach,High,2024-10-19
1785,103,Process Failure,Medium,2024-07-04
1786,103,System Downtime,Medium,2024-11-14
1787,105,Process Failure,Critical,2024-11-22
1788,101,Process Failure,Low,2024-11-28
1789,104,Compliance Breach,Medium,2024-09-07
1790,104,Process Failure,High,2024-05-04
1791,101,Process Failure,High,2024-12-07
1792,105,System Downtime,High,2024-12-13
1793,102,Fraud Alert,High,2024-07-04
1794,101,System Downtime,Critical,2024-12-01
1795,101,Process Failure,Medium,2024-10-08
1796,101,Process Failure,Low,2024-12-06
1797,105,Compliance Breach,Critical,2024-08-03
1798,102,Fraud Alert,Critical,2024-02-11
1799,103,System Downtime,Critical,2024-09-26
1800,101,Process Failure,High,2024-10-02
1801,102,System Downtime,Medium,2024-12-16
1802,105,System Downtime,High,2024-12-23
1803,103,Process Failure,High,2024-07-31
1804,105,Process Failure,High,2024-06-15
1805,102,System Downtime,High,2024-01-06
1806,104,Process Failure,Medium,2024-08-29
1807,101,System Downtime,High,2024-02-27
1808,104,Process Failure,Critical,2024-11-29
1809,105,Compliance Breach,Critical,2024-03-11
1810,105,Compliance Breach,Low,2024-03-09
1811,103,Fraud Alert,Critical,2024-01-02
1812,101,Fraud Alert,Medium,2024-09-29
1813,103,Compliance Breach,High,2024-07-12
1814,104,Compliance Breach,High,2024-03-21
1815,102,Fraud Alert,Critical,2024-01-23
1816,101,Process Failure,Low,2024-07-29
1817,101,Fraud Alert,Medium,2024-04-03
1818,102,System Downtime,Critical,2024-07-12
1819,105,Compliance Breach,Critical,2024-08-24
1820,102,Process Failure,Critical,2024-07-10
1821,102,Process Failure,Medium,2024-01-11
1822,103,Process Failure,Low,2024-06-25
1823,103,System Downtime,High,2024-01-19
1824,102,Compliance Breach,Low,2024-02-12
1825,101,Process Failure,Medium,2024-06-30
1826,104,Fraud Alert,Low,2024-05-06
1827,105,Fraud Alert,Low,2024-01-18
1828,104,System Downtime,Critical,2024-07-04
1829,103,System Downtime,Critical,2024-07-18
1830,101,Fraud Alert,Critical,2024-02-14
1831,105,Compliance Breach,Critical,2024-06-25
1832,101,Process Failure,Critical,2024-03-15
1833,103,Fraud Alert,Medium,2024-08-17
1834,103,Compliance Breach,Medium,2024-06-11
1835,105,Fraud Alert,Medium,2024-02-29
1836,105,Compliance Breach,Critical,2024-01-20
1837,103,Compliance Breach,Low,2024-01-17
1838,104,Process Failure,Medium,2024-02-20
1839,102,System Downtime,Critical,2024-08-01
1840,101,Compliance Breach,Low,2024-09-17
1841,104,Fraud Alert,Critical,2024-06-25
1842,104,Fraud Alert,Low,2024-12-21
1843,104,Compliance Breach,Low,2024-07-29
1844,105,System Downtime,Low,2024-04-08
1845,103,Process Failure,Medium,2024-07-29
1846,102,System Downtime,Medium,2024-03-09
1847,102,System Downtime,Critical,2024-05-05
1848,104,Process Failure,High,2024-04-29
1849,103,Fraud Alert,High,2024-12-01
1850,103,Fraud Alert,Medium,2024-05-12
1851,102,Compliance Breach,High,2024-12-27
1852,105,Compliance Breach,Critical,2024-07-30
1853,104,Compliance Breach,High,2024-09-12
1854,102,System Downtime,High,2024-02-16
1855,101,System Downtime,Low,2024-11-07
1856,101,Process Failure,Low,2024-12-25
1857,104,System Downtime,Low,2024-04-22
1858,105,System Downtime,Low,2024-04-14
1859,101,Fraud Alert,High,2024-07-16
1860,105,Process Failure,Medium,2024-05-15
1861,104,System Downtime,Critical,2024-04-25
1862,105,Process Failure,Low,2024-09-05
1863,103,System Downtime,Critical,2024-05-10
1864,103,Compliance Breach,Low,2024-06-05
1865,102,System Downtime,Low,2024-10-18
1866,103,System Downtime,Low,2024-04-19
1867,101,Fraud Alert,Low,2024-01-04
1868,103,Process Failure,Low,2024-03-14
1869,104,System Downtime,Critical,2024-07-04
1870,102,System Downtime,Critical,2024-02-06
1871,103,Process Failure,Medium,2024-12-25
1872,105,Compliance Breach,Medium,2024-11-26
1873,105,Process Failure,Critical,2024-07-18
1874,104,Fraud Alert,Low,2024-11-23
1875,103,Fraud Alert,High,2024-01-26
1876,102,System Downtime,Low,2024-09-01
1877,105,Process Failure,Low,2024-09-07
1878,101,Process Failure,Critical,2024-06-25
1879,105,Fraud Alert,Critical,2024-01-08
1880,103,Fraud Alert,High,2024-09-26
1881,102,System Downtime,Low,2024-07-07
1882,101,Process Failure,Low,2024-04-24
1883,102,System Downtime,Low,2024-09-09
1884,102,System Downtime,Low,2024-03-14
1885,102,Process Failure,High,2024-01-13
1886,101,Compliance Breach,High,2024-05-28
1887,101,Compliance Breach,Low,2024-07-25
1888,101,Fraud Alert,Medium,2024-07-24
1889,104,Process Failure,Medium,2024-01-26
1890,103,System Downtime,High,2024-09-16
1891,101,Fraud Alert,Low,2024-01-10
1892,105,System Downtime,Critical,2024-09-28
1893,102,Process Failure,Critical,2024-03-28
1894,104,Compliance Breach,High,2024-10-07
1895,103,System Downtime,Medium,2024-11-04
1896,105,Compliance Breach,Critical,2024-03-13
1897,103,Fraud Alert,Critical,2024-05-07
1898,104,Process Failure,Low,2024-09-26
1899,104,Compliance Breach,Critical,2024-02-19
1900,103,Process Failure,Critical,2024-07-20
1901,105,Compliance Breach,Low,2024-05-06
1902,101,Fraud Alert,Medium,2024-06-22
1903,101,Compliance Breach,Critical,2024-08-07
1904,103,Fraud Alert,Medium,2024-03-07
1905,101,Compliance Breach,Low,2024-03-01
1906,102,Compliance Breach,Medium,2024-03-23
1907,101,Fraud Alert,Medium,2024-05-02
1908,105,Compliance Breach,Critical,2024-12-22
1909,103,Fraud Alert,Medium,2024-04-17
1910,101,Compliance Breach,High,2024-11-30
1911,105,Fraud Alert,High,2024-03-18
1912,105,Fraud Alert,Low,2024-08-15
1913,103,Fraud Alert,Critical,2024-03-05
1914,105,Compliance Breach,Low,2024-02-23
1915,104,Compliance Breach,Medium,2024-03-16
1916,101,System Downtime,Low,2024-06-16
1917,105,System Downtime,Critical,2024-10-27
1918,102,Compliance Breach,Low,2024-11-16
1919,103,Process Failure,Critical,2024-01-09
1920,104,Process Failure,High,2024-04-02
1921,104,System Downtime,High,2024-03-25
1922,104,Process Failure,Medium,2024-01-10
1923,104,Fraud Alert,Critical,2024-12-22
1924,102,Process Failure,Low,2024-02-13
1925,102,Process Failure,Low,2024-01-28
1926,105,System Downtime,Critical,2024-04-02
1927,101,Process Failure,High,2024-02-01
1928,105,Fraud Alert,High,2024-11-19
1929,102,Process Failure,Low,2024-08-26
1930,102,Fraud Alert,Medium,2024-01-15
1931,104,System Downtime,High,2024-04-15
1932,105,Fraud Alert,Critical,2024-05-18
1933,105,Compliance Breach,Low,2024-04-27
1934,104,Process Failure,High,2024-02-22
1935,102,System Downtime,High,2024-02-17
1936,101,Compliance Breach,Critical,2024-10-30
1937,103,System Downtime,Medium,2024-01-21
1938,103,Process Failure,Critical,2024-12-10
1939,104,System Downtime,Critical,2024-12-06
1940,105,Process Failure,Low,2024-02-25
1941,103,Fraud Alert,Medium,2024-08-25
1942,103,Process Failure,High,2024-01-02
1943,105,Compliance Breach,High,2024-11-01
1944,104,Process Failure,High,2024-11-15
1945,104,Fraud Alert,Low,2024-03-20
1946,105,System Downtime,Medium,2024-01-24
1947,102,System Downtime,Low,2024-01-30
1948,102,Compliance Breach,Medium,2024-02-28
1949,101,Compliance Breach,Critical,2024-12-26
1950,102,System Downtime,Medium,2024-06-19
1951,103,System Downtime,High,2024-02-05
1952,104,System Downtime,Critical,2024-11-30
1953,104,Fraud Alert,Medium,2024-03-18
1954,101,System Downtime,High,2024-04-05
1955,105,Fraud Alert,Medium,2024-05-30
1956,101,System Downtime,Low,2024-06-21
1957,102,Process Failure,Critical,2024-03-10
1958,105,Process Failure,Low,2024-05-25
1959,105,Fraud Alert,Low,2024-09-12
1960,104,Fraud Alert,Critical,2024-10-15
1961,103,Fraud Alert,Low,2024-12-12
1962,105,Compliance Breach,Medium,2024-01-04
1963,104,System Downtime,Critical,2024-11-25
1964,102,Fraud Alert,Medium,2024-01-13
1965,105,Fraud Alert,Critical,2024-07-30
1966,101,System Downtime,Low,2024-07-15
1967,103,Process Failure,Critical,2024-02-15
1968,104,Compliance Breach,Medium,2024-06-26
1969,105,Fraud Alert,Low,2024-12-20
1970,103,Compliance Breach,Critical,2024-02-26
1971,104,Fraud Alert,Low,2024-06-29
1972,102,Compliance Breach,High,2024-07-16
1973,104,Process Failure,Critical,2024-11-27
1974,104,System Downtime,Critical,2024-05-23
1975,105,Compliance Breach,Medium,2024-10-20
1976,105,Fraud Alert,Low,2024-08-05
1977,104,Compliance Breach,Critical,2024-08-21
1978,104,Fraud Alert,Critical,2024-02-21
1979,101,System Downtime,Low,2024-03-18
1980,103,System Downtime,Medium,2024-06-12
1981,105,Fraud Alert,Medium,2024-11-07
1982,102,Fraud Alert,High,2024-05-31
1983,104,Compliance Breach,Critical,2024-08-09
1984,103,System Downtime,Low,2024-11-23
1985,104,System Downtime,Medium,2024-02-12
1986,102,Fraud Alert,High,2024-09-29
1987,101,Fraud Alert,Critical,2024-08-22
1988,103,Process Failure,Medium,2024-09-01
1989,105,Compliance Breach,Low,2024-02-29
1990,104,Process Failure,Low,2024-12-01
1991,104,Fraud Alert,Medium,2024-05-04
1992,102,Fraud Alert,Medium,2024-08-31
1993,103,Process Failure,High,2024-08-07
1994,102,Process Failure,Low,2024-10-25
1995,102,Compliance Breach,Medium,2024-01-01
1996,103,System Downtime,High,2024-03-14
1997,102,Process Failure,Critical,2024-04-08
1998,104,System Downtime,Low,2024-06-06
1999,103,Compliance Breach,High,2024-10-26
2000,101,Compliance Breach,Medium,2024-01-19
2001,101,Fraud Alert,Medium,2024-01-25
2002,104,Process Failure,Low,2024-06-08
2003,102,System Downtime,High,2024-03-08
2004,101,Compliance Breach,Critical,2024-06-11
2005,102,System Downtime,Medium,2024-12-07
2006,104,Process Failure,Low,2024-05-11
2007,105,System Downtime,Medium,2024-09-11
2008,104,System Downtime,Low,2024-11-02
2009,103,Fraud Alert,Critical,2024-07-24
2010,103,Fraud Alert,Critical,2024-02-04
2011,101,Compliance Breach,Low,2024-06-08
2012,102,Process Failure,Critical,2024-05-19
2013,103,System Downtime,High,2024-07-09
2014,101,Process Failure,Medium,2024-07-09
2015,101,Process Failure,High,2024-07-24
2016,105,System Downtime,Low,2024-04-14
2017,104,Process Failure,Low,2024-08-30
2018,101,Process Failure,Critical,2024-08-16
2019,104,Compliance Breach,Medium,2024-03-07
2020,104,System Downtime,Critical,2024-10-28
2021,101,Fraud Alert,Low,2024-02-29
2022,105,System Downtime,High,2024-10-02
2023,101,System Downtime,Low,2024-11-29
2024,103,Fraud Alert,High,2024-12-21
2025,101,Compliance Breach,Low,2024-05-01
2026,102,System Downtime,High,2024-11-05
2027,105,Fraud Alert,High,2024-03-07
2028,103,System Downtime,Critical,2024-08-09
2029,104,Compliance Breach,Low,2024-04-15
2030,102,Compliance Breach,Medium,2024-09-02
2031,104,System Downtime,Low,2024-07-14
2032,103,Process Failure,Critical,2024-03-11
2033,103,Compliance Breach,Low,2024-01-14
2034,101,System Downtime,Low,2024-05-16
2035,102,Process Failure,Critical,2024-05-09
2036,105,Compliance Breach,Medium,2024-02-03
2037,103,System Downtime,Low,2024-01-30
2038,105,Fraud Alert,Critical,2024-09-11
2039,102,Compliance Breach,High,2024-03-14
2040,101,System Downtime,Medium,2024-05-07
2041,102,System Downtime,Medium,2024-07-15
2042,102,Compliance Breach,Medium,2024-04-07
2043,104,Fraud Alert,Low,2024-01-14
2044,105,System Downtime,Medium,2024-10-27
2045,103,Fraud Alert,Medium,2024-01-06
2046,105,Fraud Alert,High,2024-01-02
2047,104,Process Failure,Medium,2024-09-11
2048,103,Fraud Alert,Medium,2024-03-24
2049,102,System Downtime,Critical,2024-03-24
2050,104,Compliance Breach,High,2024-01-08
2051,105,Fraud Alert,Critical,2024-04-10
2052,102,System Downtime,High,2024-11-14
2053,101,Process Failure,Low,2024-02-20
2054,103,System Downtime,High,2024-04-02
2055,105,System Downtime,Critical,2024-10-21
2056,101,Process Failure,Medium,2024-08-19
2057,101,Compliance Breach,High,2024-01-30
2058,104,Compliance Breach,Low,2024-11-05
2059,101,System Downtime,Medium,2024-04-23
2060,102,Compliance Breach,Critical,2024-09-12
2061,105,Compliance Breach,Critical,2024-07-19
2062,102,Fraud Alert,High,2024-01-04
2063,101,System Downtime,Medium,2024-08-16
2064,101,System Downtime,Low,2024-02-22
2065,105,Process Failure,Critical,2024-06-12
2066,102,System Downtime,Low,2024-03-01
2067,101,System Downtime,Critical,2024-01-17
2068,103,Compliance Breach,Low,2024-04-30
2069,103,System Downtime,High,2024-05-11
2070,104,Fraud Alert,Medium,2024-02-21
2071,101,Fraud Alert,High,2024-05-17
2072,102,System Downtime,Medium,2024-06-28
2073,102,Compliance Breach,Medium,2024-06-06
2074,104,Fraud Alert,High,2024-08-06
2075,101,System Downtime,Medium,2024-04-02
2076,103,Compliance Breach,High,2024-09-19
2077,102,Process Failure,High,2024-07-27
2078,105,Compliance Breach,Critical,2024-12-09
2079,101,System Downtime,Medium,2024-01-07
2080,101,Process Failure,Medium,2024-01-06
2081,104,System Downtime,Low,2024-01-30
2082,105,Fraud Alert,High,2024-01-03
2083,101,Process Failure,High,2024-11-02
2084,105,System Downtime,Critical,2024-10-14
2085,103,Compliance Breach,High,2024-12-09
2086,103,Fraud Alert,High,2024-02-18
2087,104,System Downtime,Low,2024-02-14
2088,102,Compliance Breach,Low,2024-01-08
2089,102,System Downtime,Critical,2024-08-13
2090,102,Process Failure,Medium,2024-07-07
2091,103,Compliance Breach,High,2024-06-10
2092,102,Fraud Alert,Critical,2024-10-16
2093,105,Fraud Alert,Critical,2024-08-17
2094,102,System Downtime,Critical,2024-06-07
2095,103,Fraud Alert,Low,2024-08-29
2096,104,Fraud Alert,Low,2024-02-16
2097,105,Fraud Alert,Medium,2024-08-06
2098,103,System Downtime,Medium,2024-01-17
2099,101,System Downtime,Critical,2024-07-26
2100,105,System Downtime,Low,2024-09-26
2101,101,Process Failure,Medium,2024-07-08
2102,105,Fraud Alert,Critical,2024-05-24
2103,101,Fraud Alert,Critical,2024-10-12
2104,102,System Downtime,Critical,2024-06-08
2105,101,Process Failure,Critical,2024-07-06
2106,103,System Downtime,Medium,2024-02-21
2107,104,Process Failure,High,2024-06-26
2108,102,Fraud Alert,High,2024-02-24
2109,104,Compliance Breach,Critical,2024-12-26
2110,105,System Downtime,Low,2024-04-13
2111,103,Compliance Breach,High,2024-10-30
2112,101,Fraud Alert,High,2024-12-07
2113,103,Process Failure,Critical,2024-11-06
2114,105,Process Failure,High,2024-07-12
2115,103,System Downtime,Critical,2024-02-01
2116,104,System Downtime,Medium,2024-08-05
2117,105,Compliance Breach,Medium,2024-07-30
2118,102,System Downtime,Medium,2024-09-09
2119,103,Compliance Breach,Medium,2024-04-06
2120,104,Compliance Breach,Low,2024-09-14
2121,102,System Downtime,High,2024-03-15
2122,104,Compliance Breach,Low,2024-05-28
2123,104,Process Failure,Medium,2024-02-12
2124,105,System Downtime,High,2024-01-28
2125,101,Fraud Alert,High,2024-12-29
2126,103,Process Failure,Low,2024-06-28
2127,104,System Downtime,Critical,2024-11-13
2128,105,System Downtime,Medium,2024-10-04
2129,102,Process Failure,High,2024-11-30
2130,105,Process Failure,Critical,2024-02-28
2131,104,Compliance Breach,Medium,2024-05-28
2132,101,Compliance Breach,Medium,2024-07-22
